disease,cohort_name,source_portal,accession_or_id,access_method,license_ethics_notes,modalities,n_subjects_approx,n_samples_approx,timepoints_or_visits,longitudinal_notes,recommended_priority,selection_status,url,verification_status,needs_account_or_api_key
BRCA,TCGA-BRCA,GDC,TCGA-BRCA (dbGaP phs000178 for controlled),"open (Level-3); controlled (BAM/raw)","TCGA open Level-3 clinical/molecular; controlled requires dbGaP","methylation, RNA-seq, miRNA, CNV, mutations, RPPA, clinical",~1098 cases,"methylation/RNA ~1097 cases; files tens of thousands","mostly 1 molecular visit; rare TM/NT co-samples","SELECTED primary (user-locked 2026-07-24). Year-1/2 multi-omic PoC anchor. True serial molecular repeats sparse (~7 TM historically). Clinical follow-up != repeated omics.",primary (locked),locked,https://portal.gdc.cancer.gov/projects/TCGA-BRCA,unverified_public_metadata,"yes — GDC account recommended for bulk download; dbGaP only if controlled files needed (optional for Level-3 open)"
BRCA,AURORA US Metastatic Breast Multiomics,GEO + dbGaP (+ TCIA imaging),GSE209998 / GSE212375; dbGaP phs002622,"open (processed GEO subsets); controlled (dbGaP raw/full)","Publication consortia DUAs for controlled; GEO processed often open","RNA-seq, WES/WGS, DNA methylation, clinical",~55 patients (retrospective phase),~51 primaries + ~102 metastases,">=2 tissue timepoints (primary + metastasis; some multi-met)","Alternate for true paired molecular timepoints (primary-met). Prefer when Plan 02 needs genuine molecular repeats that TCGA lacks. Counts TBD — verify on GEO/dbGaP.",alternate (longitudinal molecular),unlocked_alternate,https://www.cancerimagingarchive.net/collection/aurora-metastatic-breast-multiomics/,unverified_public_metadata,"yes — dbGaP for full multi-omic; NCBI/GEO optional for open matrices"
BRCA,AURORA BIG (EU),Program / controlled repositories,BIG AURORA MBC (Cancer Discovery 2022),controlled / account+DUA,Consortia access; not a single open GEO dump,"targeted DNA, RNA-seq subsets, clinical",~381 profiled; paired RNA-seq ~152,TBD — verify on program portal,primary + early metastasis pairs,Large paired primary-met resource; access path TBD.,exploratory,unlocked_exploratory,https://pubmed.ncbi.nlm.nih.gov/35850122/,needs_dua,yes — program/DAC credentials (TBD)
BRCA,I-SPY2 transcriptomic (+ serial MRI),GEO + TCIA,GSE194040 (mRNA); TCIA ISPY2,"open (GEO expression; TCIA imaging CC-BY)",Trial data; check GEO/TCIA terms,"gene expression (often pre-treatment); serial MRI",~987 with pretreatment expression,~987 expression; MRI multi-visit subset larger,"imaging: multiple NAC visits; molecular often single pre-treatment","Strong imaging dt; weak molecular repeats in public release.",exploratory,unlocked_exploratory,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194040,unverified_public_metadata,no for GEO matrices; TCIA optional
Alzheimer's,ADNI (blood EPIC methylation + genomics/clinical),LONI IDA,ADNI (methylation studies ~n=650 subjects in published analyses),controlled / account+DUA,ADNI Data Use Agreement required; IRB-aware use,"DNA methylation (EPIC), GWAS, clinical/cognitive, imaging, CSF biomarkers",~650 with methylation in published EWAS; ADNI overall larger,~1700+ methylation samples after QC in papers,"baseline + follow-ups ~1y apart up to ~4y","Best AD fit for molecular dt. Multi-omic via methylation + genotype + clinical (+/- imaging).",primary (recommended),recommended_unlocked,https://adni.loni.usc.edu/data-samples/adni-data/,needs_dua,yes — ADNI/LONI account + DUA required
Alzheimer's,ROSMAP (AMP-AD),Synapse AD Knowledge Portal,syn3219045 (study); metadata syn3157322,controlled / account+DUA,Synapse + Data Use Certificate (DUC),"genotypes, WGS, methylation, RNA-seq, ChIP-seq, proteomics (ongoing), rich clinical",ROS+MAP >3000 enrolled; omic subsets hundreds-thousands,"RNA-seq ~638; methylation ~740 (first-gen atlas; growing)","Clinical longitudinal; brain omics usually one postmortem sample","Excellent multi-omic AD/aging biology; limited repeated molecular timepoints on same tissue.",alternate,unlocked_alternate,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn3219045,needs_dua,yes — Synapse account + ADKP DUC required
Alzheimer's,Progressive MCI / AD blood RNA-seq,GEO,GSE282742,open,GEO open; raw not provided,RNA-seq (WBC),"P-MCI ~28; S-MCI ~39; AD ~49 (+ serial draws)",~100+ samples (serial subject IDs present),">=2 draws for many converters","Longitudinal clinical progression with repeated blood RNA. Single-omic — exploratory under multi-omic preference.",exploratory,unlocked_exploratory,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282742,unverified_public_metadata,no (optional NCBI login)
Alzheimer's,AddNeuroMed / related blood methylation,GEO,GSE153712 (and related),open,GEO open,methylation (EPIC),TBD — verify on GEO,TBD — verify on GEO,"often case/control; confirm visit labels on portal","Useful open methylation; confirm longitudinal vs cross-sectional before ETL. Single-omic.",exploratory,unlocked_exploratory,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153712,unverified_public_metadata,no (optional NCBI login)
Rheumatoid Arthritis,Anti-TNF response multi-omics (Utrecht / CERTAIN-linked),GEO,GSE138747 (SuperSeries); GSE138746 RNA; GSE138653 methylation,open,GEO open,"RNA-seq + DNA methylation (+ related proteomics in paper)",~40 biologic-naive RA per described cohort arm (verify),~2x subjects (baseline + 3 mo) — TBD exact on GEO,baseline + ~3 months anti-TNF,Open multi-omic + clear dt. Recommended RA primary.,primary (recommended),recommended_unlocked,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138747,unverified_public_metadata,no (optional NCBI login / E-utils key)
Rheumatoid Arthritis,TNFi response longitudinal methylation (IMIDC Spain),GEO,GSE176168,open,GEO open,DNA methylation (EPIC),discovery ~62 + validation ~60,~2x (baseline + wk12),baseline + week 12,Clear longitudinal methylation. Single-omic — alternate.,alternate,unlocked_alternate,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176168,unverified_public_metadata,no
Rheumatoid Arthritis,Anti-TNF whole-blood RNA-seq,GEO,GSE129705,open,GEO open; raw withheld (consent),RNA-seq,TBD — verify on GEO,baseline + 3 mo pairs,baseline + 3 months,Processed counts available; raw blocked. Single-omic.,exploratory,unlocked_exploratory,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129705,unverified_public_metadata,no
Type 2 Diabetes,KORA F4 / FF4,Helmholtz Munich KORA.PASST,KORA F4->FF4 (no single public GEO dump for full longitudinal set),controlled / account+DUA (project agreement),Board-approved project agreement; European cohort ethics,"DNA methylation (450K F4; EPIC FF4); RNA-seq (FF4 ~1543); clinical/metabolic",papers use ~1800+ with paired traits; exact dual-wave methylation n TBD,F4 and FF4 arrays separately; overlap TBD,2 survey waves ~7 years apart,"Best T2D multi-omic longitudinal candidate. RNA denser at FF4; methylation spans both waves.",primary (recommended),recommended_unlocked,https://www.helmholtz-munich.de/en/epi/cohort/kora,needs_dua,yes — KORA.PASST account + project proposal/agreement required
Type 2 Diabetes,CCHC T2D transition RNA-seq,GEO,GSE184050,open,GEO open,RNA-seq,cases ~50 + controls ~66 (2 timepoints each in design),116 listed GSM rows,2 RNA timepoints per subject (nested case-control transition),Strong open longitudinal RNA for incidence transition. Single-omic — alternate.,alternate,unlocked_alternate,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184050,unverified_public_metadata,no
Type 2 Diabetes,Metformin response drug-naive T2D RNA-seq,GEO,GSE153315,open,GEO open,RNA-seq,~20 T2D + ~10 controls,pre/post therapy subset TBD,~3 months metformin follow-up,Small n; drug-response dt. Single-omic.,exploratory,unlocked_exploratory,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153315,unverified_public_metadata,no
Type 2 Diabetes,recount3 reprocessed RNA (T2D-tagged projects),Bioconductor recount3,project-dependent (select T2D GEO/SRA studies),open (reprocessed counts),inherits source study licenses,RNA-seq (harmonized),study-dependent,study-dependent,only if underlying study is longitudinal,ETL rehearsal layer after picking a longitudinal accession; not a cohort by itself.,exploratory,unlocked_exploratory,https://bioconductor.org/packages/recount3/,unverified_public_metadata,no
Epigenetic Aging,Lothian Birth Cohort 1936 (LBC1936),EGA + University of Edinburgh data access,EGAS00001000910; cohort request,controlled / account+DUA,Not fully public; DAC / Edinburgh collaboration terms,"blood DNA methylation (450K) multi-wave; genetics available via cohort; rich phenotypes",Wave1 methyl ~920 QC'd historically; later waves hundreds,multi-wave samples (W1-W4 methyl subsets),waves ~age 70/73/76/79 (+),"Recommended Epigenetic Aging primary under multi-omic preference (methylation dt + genetics/phenotypes).",primary (recommended),recommended_unlocked,https://www.ed.ac.uk/lothian-birth-cohorts/data-access,needs_dua,yes — Edinburgh request / EGA DAC; no public API key
Epigenetic Aging,SATSA longitudinal methylation,ArrayExpress / BioStudies,E-MTAB-7309,open,ArrayExpress open deposition,DNA methylation (450K),~385 twins after QC,~1011 samples across up to 5 waves,up to 5 waves (1992-2012); ~200 with >=3 measures,Excellent open longitudinal methylation for clocks. Single-omic — alternate.,alternate,unlocked_alternate,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-7309,unverified_public_metadata,no
Epigenetic Aging,Normative Aging Study (NAS) methylation,dbGaP,phs000853,controlled / account+DUA,dbGaP authorized-access,longitudinal blood methylation (+ study phenotypes),TBD — verify on dbGaP,TBD — verify on dbGaP,repeated exams (multi-year),Controlled longitudinal aging methylome; confirm multi-omic joins on dbGaP.,alternate,unlocked_alternate,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000853,needs_login,yes — dbGaP + eRA commons / institutional PI
Epigenetic Aging,Framingham Heart Study methylation (Offspring etc.),dbGaP,phs000974 (and related),controlled / account+DUA,dbGaP; Framingham terms,"methylation + genotypes + clinical longitudinal",TBD — verify on dbGaP,TBD — verify on dbGaP,exam cycles (multi-year),Strong controlled multi-omic aging resource; heavier DUA.,exploratory,unlocked_exploratory,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000974,needs_login,yes — dbGaP
Epigenetic Aging,Cross-sectional aging methylomes (clock training sets),GEO,"e.g. GSE40279, GSE87571",open,GEO open,DNA methylation,hundreds each,hundreds-~700+,typically 1 timepoint (age span cross-sectional),Useful for clock baselines; do not satisfy >=2 timepoints alone.,exploratory,unlocked_exploratory,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40279,unverified_public_metadata,no
